eth_address,eos_amount,status,transaction_hash
0x008275e46cd62b576899a4bac6c4bd8b0b50444f,102.227300000000000000,REQUESTED,
0x0193ef778e3b780eb982a5d5938f1b3bcd229674,165.669000000000000000,REQUESTED,
0x02a4cb8875616c1630d8fe557f859400c2c721c5,110.299700000000000000,REQUESTED,
0x03f47d5eb6af2f6a0621af6e362f9b76742b6335,348.610000000000000000,REQUESTED,
0x04c615ff54ba7c069267f24783b286850a21c0c1,110.212800000000000000,REQUESTED,
0x0601ebafb675c6ae86b26e4c0642ab1a299c946a,110.300000000000000000,REQUESTED,
0x07d94f363ca9151b6f5d2ed18ec1e51c5a86b53a,242.425700000000000000,REQUESTED,
0x08f7392245fb72550618752de8764f3adea6b039,101.936700000000000000,REQUESTED,
0x09178be4c2d2166536345260dfbe6b11184f6164,101.916000000000000000,REQUESTED,
0x09bd75165069147fc3456753a409f3159f249302,101.919200000000000000,REQUESTED,
0x09e62130aae53a04ac105115ae8ac059214d5e80,101.940000000000000000,REQUESTED,
0x0a4683ef22fc0b744488df626d869738507c4013,165.894100000000000000,REQUESTED,
0x0bfa9e1a5f262eeff7fff51b8830c968bc212f0b,102.295800000000000000,REQUESTED,
0x0d90baae3e012b698f3efa28c3fac0757849eea0,101.930000000000000000,REQUESTED,
0x0ea15218fd9a7152ffd104fc60dbc36461e86dfa,110.288200000000000000,REQUESTED,
0x0fc179ec8370145aea719d4417565ed7a4c5be65,110.156500000000000000,REQUESTED,
0x1187e958612ffc426d966eaf1646125a231fc386,110.209300000000000000,REQUESTED,
0x121d208ffd6d14719a164e62fd17b680a1607657,110.200000000000000000,REQUESTED,
0x12b63ed1e049abcf0891cef257384e67e8ea21d0,348.612100000000000000,REQUESTED,
0x1353e07711e7b540791267bc4521a5a970ebd177,175.776600000000000000,REQUESTED,
0x13dfcfd21710afee29afcb5fe29337491ea8bcbd,110.279100000000000000,REQUESTED,
0x15d3c2dd83637eb482166a3631246ba09662edf3,165.860000000000000000,REQUESTED,
0x1671a0002b24af786dc5f3ab644baa332c09da9b,165.753000000000000000,REQUESTED,
0x16a972cfd9ea0daa3418df9b241f817349dc8d71,102.276300000000000000,REQUESTED,
0x170e3972f0f00b59e5f693eb3dadff4ccf883677,348.580000000000000000,REQUESTED,
0x1726562671ab326e726bd2c27a8e5d7582e97f61,101.939100000000000000,REQUESTED,
0x17479f46c072bb45cf5b998635cb5b94d63caa3d,102.277400000000000000,REQUESTED,
0x183b65b52402b3a2e9f7b96ebfb46309dbc5a1c8,101.897000000000000000,REQUESTED,
0x1a3b7006cc69698a886fadcc6b8e0255d2215fd5,101.950000000000000000,REQUESTED,
0x1cb232475b637aed017828ac878b12a74ac77311,110.167500000000000000,REQUESTED,
0x1dfc534a95ed3d9c3a81786db09f6cbe16de8d32,102.236100000000000000,REQUESTED,
0x1fb7325a8cb6bd14cdfb9eb15f5f8d83a5f06a2c,165.844700000000000000,REQUESTED,
0x228835bdf697cbe8fc098b47b0dc8746e19e4e40,101.914800000000000000,REQUESTED,
0x23522418b26698376567a27a2b382d0f27a1ad07,165.666000000000000000,REQUESTED,
0x236c82df7d98ff1e7fe81ae69a95f9de73a9d2b9,165.734500000000000000,REQUESTED,
0x24af234ea68dad82f1ba822caa1c7ea2c3ae1c66,175.776600000000000000,REQUESTED,
